42	318	12	18	D	0.9981759833619689
42	353	12	18	D	0.9981759833619689
42	388	12	18	D	0.9981759833619689
42	754	12	18	D	0.9981759833619689
42	789	12	18	D	0.9981759833619689
42	824	12	18	D	0.9981759833619689
54	177	12	18	B	0.9981759833619689
54	212	12	18	B	0.9981759833619689
54	247	12	18	B	0.9981759833619689
54	422	12	18	B	0.9981759833619689
54	492	12	18	B	0.9981759833619689
54	613	12	18	B	0.9981759833619689
54	648	12	18	B	0.9981759833619689
54	683	12	18	B	0.9981759833619689
54	858	12	18	B	0.9981759833619689
54	927	12	18	B	0.9981759833619689
66	107	12	18	F	0.9981759833619689
66	282	12	18	F	0.9981759833619689
66	543	12	18	F	0.9981759833619689
66	718	12	18	F	0.9981759833619689
66	978	12	18	F	0.9981759833619689
66	1080	12	18	F	0.9981759833619689
82	143	12	18	D	0.9981759833619689
82	579	12	18	D	0.9981759833619689
94	1080	12	18	B	0.9981759833619689
140	458	12	18	B	0.9981759833619689
140	893	12	18	B	0.9981759833619689
157	108	12	18	F	0.9981759833619689
157	544	12	18	F	0.9981759833619689
157	979	12	18	F	0.9981759833619689
174	458	12	18	D	0.9981759833619689
174	893	12	18	D	0.9981759833619689
197	1081	12	18	A	0.9981759833619689
33	1160	36	16	quarter_rest	0.04131246753881058
154	246	36	16	quarter_rest	0.04131246753881058
154	682	36	16	quarter_rest	0.04131246753881058
154	1160	36	16	quarter_rest	0.04131246753881058
37	1028	30	18	eighth_rest	0.044022565409356555
158	386	30	18	eighth_rest	0.044022565409356555
158	822	30	18	eighth_rest	0.044022565409356555
158	1028	30	18	eighth_rest	0.044022565409356555
